Round,Timestamp,Time2predict,Time2learn,Accuracy,ROCAUC,BalancedAccuracy,CohenKappa,Completeness,F1,FBeta,FowlkesMallows,GeometricMean,LogLoss,MCC,Precision,WeightedPrecision,WeightedRecall,RollingAccuracy,RollingROCAUC,RollingBalancedAccuracy,RollingCohenKappa,RollingCompleteness,RollingF1,RollingFBeta,RollingFowlkesMallows,RollingGeometricMean,RollingLogLoss,RollingMCC,RollingPrecision,RollingWeightedPrecision,RollingWeightedRecall,Algorithm
1,0.0005016326904296875,4.38690185546875e-05,0.0004532337188720703,0.5598559855985599,0.5531348758721416,0.5531348758721417,0.10669249987310221,0.008344066129680638,0.4985776660492193,0.4921892347278641,0.5145816181910436,0.5492889076407405,15.202204072204836,0.10677182383038522,0.5096017310162959,0.5581835714678454,0.5598559855985599,0.66,0.6404040404040404,0.6424242424242425,0.29313929313929316,0.07657648550021334,0.5526315789473684,0.4976303317535545,0.576648530475559,0.6179143806533247,11.743263934012417,0.30640519410170247,0.6774193548387096,0.6635343618513323,0.66,tree_HoeffdingTreeClassifier
2,0.0002579689025878906,3.910064697265625e-05,4.291534423828125e-05,0.5598623753320848,0.5531398993043942,0.5531398993043942,0.10670263523242642,0.008345671124196041,0.4985776660492193,0.4921892347278641,0.5145846105507508,0.5492933707342724,15.201983376183,0.10678196492299823,0.5096017310162959,0.558189791112137,0.5598623753320848,0.66,0.6404040404040404,0.6424242424242425,0.29313929313929316,0.07657648550021334,0.5526315789473684,0.4976303317535545,0.576648530475559,0.6179143806533247,11.743263934012417,0.30640519410170247,0.6774193548387096,0.6635343618513323,0.66,tree_HoeffdingTreeClassifier
3,0.00023365020751953125,3.528594970703125e-05,4.2438507080078125e-05,0.5598687648800883,0.5531449224722417,0.5531449224722417,0.10671277006750096,0.008347276195538877,0.4985776660492193,0.4921892347278641,0.5145876031215336,0.5492978335566322,15.201762686568921,0.10679210549074274,0.5096017310162959,0.5581960105857353,0.5598687648800883,0.67,0.637987012987013,0.6493506493506493,0.308466051969824,0.083681402616403,0.5599999999999999,0.5072463768115942,0.5836936129834742,0.6261353324525414,11.397876170063311,0.32059154930942724,0.6774193548387096,0.6713978494623656,0.67,tree_HoeffdingTreeClassifier
4,0.0003116130828857422,3.457069396972656e-05,0.00012421607971191406,0.5598606372940408,0.5531370223773417,0.5531370223773417,0.10669715809174352,0.008344872845987616,0.49856942032580837,0.49217637762365635,0.5145857455471436,0.5492889414292055,15.202043401001793,0.1067766009139231,0.5096017310162959,0.5581869173887424,0.5598606372940408,0.67,0.637987012987013,0.6493506493506493,0.308466051969824,0.083681402616403,0.5599999999999999,0.5072463768115942,0.5836936129834742,0.6261353324525414,11.397876170063311,0.32059154930942724,0.6774193548387096,0.6713978494623656,0.67,tree_HoeffdingTreeClassifier
5,0.00022983551025390625,3.62396240234375e-05,4.1961669921875e-05,0.559867026681764,0.553142045280805,0.5531420452808051,0.10670729245645627,0.008346477773463756,0.49856942032580837,0.49217637762365635,0.5145887380894604,0.5492934039081776,15.201822716923736,0.10678674101961061,0.5096017310162959,0.5581931365823924,0.559867026681764,0.68,0.6469155844155844,0.6582792207792207,0.32773109243697485,0.09733239030137775,0.5675675675675677,0.5097087378640777,0.5935866088219383,0.6329045598020145,11.052480410139902,0.34289772487099823,0.7,0.684,0.68,tree_HoeffdingTreeClassifier
6,0.00022864341735839844,3.5762786865234375e-05,4.172325134277344e-05,0.5598734158839839,0.553147067919905,0.553147067919905,0.1067174262970048,0.008348082777748678,0.49856942032580837,0.49217637762365635,0.5145917308428057,0.5492978661160323,15.201602039252812,0.10679688060051473,0.5096017310162959,0.5581993556053758,0.5598734158839839,0.68,0.6469155844155844,0.6582792207792207,0.32773109243697485,0.09733239030137775,0.5675675675675677,0.5097087378640777,0.5935866088219383,0.6329045598020145,11.052480410139902,0.34289772487099823,0.7,0.684,0.68,tree_HoeffdingTreeClassifier
7,0.00022792816162109375,3.600120544433594e-05,4.076957702636719e-05,0.5598652885843688,0.5531391683365368,0.5531391683365368,0.10670181527505548,0.008345679469738743,0.49856117487513646,0.4921635211911448,0.5145898733064288,0.5492889742759638,15.201882743792872,0.10678137704689562,0.5096017310162959,0.5581902628806249,0.5598652885843688,0.67,0.6496969696969697,0.6515151515151515,0.31250000000000006,0.08977577368096334,0.56,0.5,0.5862442295244515,0.6247423711443224,11.397868174089009,0.3289758474798844,0.7,0.6764285714285714,0.67,tree_HoeffdingTreeClassifier
8,0.0002315044403076172,3.695487976074219e-05,4.220008850097656e-05,0.5598716776263264,0.5531441907112943,0.5531441907112942,0.10671194864531625,0.008347284330173843,0.49856117487513646,0.4921635211911448,0.5145928660312753,0.549293436140498,15.201662071657353,0.10679151616582054,0.5096017310162959,0.5581964816237027,0.5598716776263264,0.67,0.6496969696969697,0.6515151515151515,0.31250000000000006,0.08977577368096334,0.56,0.5,0.5862442295244515,0.6247423711443224,11.397868174089009,0.3289758474798844,0.7,0.6764285714285714,0.67,tree_HoeffdingTreeClassifier
9,0.0002281665802001953,3.5762786865234375e-05,4.172325134277344e-05,0.5598780664827987,0.5531492128217301,0.5531492128217301,0.10672208149149841,0.008348889267398962,0.49856117487513646,0.4921635211911448,0.5145958589671035,0.5492978977339692,15.20144140592834,0.10680165476004701,0.5096017310162959,0.5582027001961402,0.5598780664827987,0.68,0.658989898989899,0.6606060606060606,0.3319415448851775,0.10483677034648342,0.5675675675675675,0.5023923444976076,0.5962783484791815,0.6314965390149646,11.0524724141656,0.3521691861581297,0.7241379310344828,0.6899465760077708,0.68,tree_HoeffdingTreeClassifier
10,0.00022840499877929688,3.600120544433594e-05,4.1484832763671875e-05,0.5598844551537937,0.5531542346678652,0.5531542346678652,0.10673221381364276,0.008350494281397891,0.49856117487513646,0.4921635211911448,0.5145988521138853,0.5493023590564027,15.201220746605557,0.10681179282961585,0.5096017310162959,0.558208918597944,0.5598844551537937,0.68,0.658989898989899,0.6606060606060606,0.3319415448851775,0.10483677034648342,0.5675675675675675,0.5023923444976076,0.5962783484791815,0.6314965390149646,11.0524724141656,0.3521691861581297,0.7241379310344828,0.6899465760077708,0.68,tree_HoeffdingTreeClassifier
